"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"1681c421-5df1-456d-acf8-b19c8553f10b","NEW YORK","char-offset:753","PLACE","http://sws.geonames.org/5128638","New York","42.9903432584127","-75.68849651425573","","UNVERIFIED","",""
"48919a20-1743-4e12-ba1f-872326026db4","Tierra del Fuego","char-offset:5116","PLACE","http://sws.geonames.org/3834450","Tierra del Fuego","-54.32712747372341","-67.42651230059857","","UNVERIFIED","",""
"948fd9c6-9387-4eea-9ca9-3a33757898c3","London","char-offset:5800","PLACE","http://sws.geonames.org/2643743","London","51.50853","-0.12574","","UNVERIFIED","",""
"ef13b983-82fc-485d-8ba9-6c079c41616f","London","char-offset:15015","PLACE","http://sws.geonames.org/2643743","London","51.50853","-0.12574","","UNVERIFIED","",""
"6f8fde70-88d0-4797-b389-e2cf826daa1c","US","char-offset:16840","PLACE","http://sws.geonames.org/2971316","Us","49.1","1.96667","","UNVERIFIED","",""
"af51eaa3-ce82-4326-b3db-b1c486d74514","England","char-offset:18426","PLACE","http://sws.geonames.org/6269131","England","","","","UNVERIFIED","",""
"cb2b69e3-fd4d-4978-80c8-6dc95467e1fd","France","char-offset:18438","PLACE","http://sws.geonames.org/3017382","France","46.557575440537526","2.5522572848112075","","UNVERIFIED","",""
"46d3b8d5-cc09-4098-83b1-3c5c8c9d5220","Emerson","char-offset:26656","PLACE","http://sws.geonames.org/5097649","Emerson","40.97621","-74.02625","","UNVERIFIED","",""
"c9ea832f-cc01-4492-8aa6-52482112a4ef","Lewisham","char-offset:31660","PLACE","http://sws.geonames.org/9972803","Lewisham","-33.89719","151.14883","","UNVERIFIED","",""
"e9b0bbc7-4b1b-4965-a7da-9c6f2e996b02","Darlington Hospital","char-offset:31891","PLACE","","","","","","UNVERIFIED","",""
"40a0f2f6-775f-4126-aa97-87c21bc451e9","Boyne","char-offset:32779","PLACE","http://pleiades.stoa.org/places/79337","Bououinda fl.|Bououinda, Boyne","53.72171","-6.23883","river","UNVERIFIED","",""
